epoch,step,train_loss_epoch,train_loss_step
0,24,1.6943782567977905,
1,49,,1.573901653289795
1,49,1.6065609455108643,
2,74,1.522632122039795,
3,99,,1.3687047958374023
3,99,1.3886044025421143,
4,124,1.2959697246551514,
5,149,,1.2740808725357056
5,149,1.2032997608184814,
6,174,1.1087819337844849,
7,199,,0.9607052206993103
7,199,1.029602289199829,
8,224,0.9454196691513062,
9,249,,0.8368088006973267
9,249,0.8736994862556458,
10,274,0.8303505182266235,
11,299,,0.6741052865982056
11,299,0.744098961353302,
12,324,0.7085979580879211,
13,349,,0.6355642676353455
13,349,0.6557233333587646,
14,374,0.6268829703330994,
15,399,,0.5444779396057129
15,399,0.6069203019142151,
16,424,0.5840259194374084,
17,449,,0.5760229229927063
17,449,0.5697602033615112,
18,474,0.5526754856109619,
19,499,,0.5295207500457764
19,499,0.5375806093215942,
20,524,0.5419356226921082,
21,549,,0.541462779045105
21,549,0.538490891456604,
22,574,0.5178563594818115,
23,599,,0.463296115398407
23,599,0.5158758759498596,
24,624,0.5253989100456238,
25,649,,0.5251229405403137
25,649,0.5175091624259949,
26,674,0.5076759457588196,
27,699,,0.5250412225723267
27,699,0.5219194889068604,
28,724,0.506411612033844,
29,749,,0.5609225630760193
29,749,0.5072726607322693,
30,774,0.49909505248069763,
31,799,,0.4623884856700897
31,799,0.5059381127357483,
32,824,0.5003612637519836,
33,849,,0.5265741944313049
33,849,0.5067978501319885,
34,874,0.5009773969650269,
35,899,,0.42549431324005127
35,899,0.4888492226600647,
36,924,0.49424317479133606,
37,949,,0.4926047623157501
37,949,0.5052334666252136,
38,974,0.5006808042526245,
39,999,,0.5143320560455322
39,999,0.4949343502521515,
40,1024,0.49745169281959534,
41,1049,,0.5355606079101562
41,1049,0.4919261634349823,
42,1074,0.4933328628540039,
43,1099,,0.4973331093788147
43,1099,0.48433804512023926,
44,1124,0.4877506196498871,
45,1149,,0.48532989621162415
45,1149,0.4893624484539032,
46,1174,0.4829758405685425,
47,1199,,0.5208255052566528
47,1199,0.4829338490962982,
48,1224,0.48495227098464966,
49,1249,,0.4798702597618103
49,1249,0.48883044719696045,
